"惑前焙喊(1)","矫痢",拌,牢磐齿碱俏,葛官老碱俏
"局肯侩前","2017.01",53096,22849,30247
"局肯侩前","2017.02",62005,24296,37709
"局肯侩前","2017.03",65265,25187,40078
"局肯侩前","2017.04",59383,23609,35774
"局肯侩前","2017.05",56112,22937,33175
"局肯侩前","2017.06",56092,22732,33360
"局肯侩前","2017.07",58500,22569,35931
"局肯侩前","2017.08",60590,23065,37525
"局肯侩前","2017.09",66077,24325,41752
"局肯侩前","2017.10",64491,22728,41763
"局肯侩前","2017.11",72675,25677,46998
"局肯侩前","2017.12",62280,23206,39074
"局肯侩前","2018.01",72178,24538,47640
"局肯侩前","2018.02",60944,20227,40717
"局肯侩前","2018.03",68634,22960,45674
"局肯侩前","2018.04",70338,22363,47974
"局肯侩前","2018.05",69233,22195,47039
"局肯侩前","2018.06",75126,23474,51652
"局肯侩前","2018.07",75847,21873,53975
"局肯侩前","2018.08",71481,21450,50031
"局肯侩前","2018.09",66227,18168,48060
"局肯侩前","2018.10",69666,21100,48566
"局肯侩前","2018.11",68301,19750,48551
"局肯侩前","2018.12",68077,19851,48227
"局肯侩前","2019.01",72818,20185,52633
"局肯侩前","2019.02",65332,19901,45431
"局肯侩前","2019.03",73144,21791,51353
"局肯侩前","2019.04",75924,24066,51858
"局肯侩前","2019.05",77463,24044,53419
"局肯侩前","2019.06",77825,22063,55761
"局肯侩前","2019.07",77944,22177,55767
"局肯侩前","2019.08",77351,21988,55364
"局肯侩前","2019.09",82670,25333,57337
"局肯侩前","2019.10",88768,25295,63472
"局肯侩前","2019.11",86415,23474,62941
"局肯侩前","2019.12",87025,24735,62290
"局肯侩前","2020.01",114253,26134,88118
"局肯侩前","2020.02",116642,26502,90140
"局肯侩前","2020.03",126326,29056,97271
"局肯侩前","2020.04",126422,30436,95985
"局肯侩前","2020.05",126839,28951,97888
"局肯侩前","2020.06",128447,30076,98370
"局肯侩前","2020.07",138220,31989,106231
"局肯侩前","2020.08",136638,30187,106451
"局肯侩前","2020.09",139446,30765,108682
"局肯侩前","2020.10",144256,32149,112108
"局肯侩前","2020.11",145601,33422,112179
"局肯侩前","2020.12",160729,35220,125510
"局肯侩前","2021.01",158243,32380,125863
"局肯侩前","2021.02",138320,28542,109777
"局肯侩前","2021.03",158226,33127,125099
"局肯侩前","2021.04",155935,32268,123666
"局肯侩前","2021.05",158686,31206,127480
"局肯侩前","2021.06",159458,31730,127728
"局肯侩前","2021.07",165141,32936,132206
"局肯侩前","2021.08",169974,33839,136135
"局肯侩前","2021.09",165238,30591,134647
"局肯侩前","2021.10",175109,35561,139547
"局肯侩前","2021.11",174413,35331,139082
"局肯侩前","2021.12",184107,34234,149873
"局肯侩前","2022.01",177540,33967,143573
"局肯侩前","2022.02",168644,27694,140951
"局肯侩前","2022.03",187743,30318,157424
"局肯侩前","2022.04",178635,28803,149831
"局肯侩前","2022.05",187179,31063,156115
"局肯侩前","2022.06",188369,30221,158147
"局肯侩前","2022.07",188363,28821,159542
"局肯侩前","2022.08",200606,33049,167557
"局肯侩前","2022.09",192670,30289,162380
"局肯侩前","2022.10",196331,38918,157413
"局肯侩前","2022.11",200675,39102,161573
"局肯侩前","2022.12",206586,40773,165813
"局肯侩前","2023.01",199910,36396,163514
"局肯侩前","2023.02",185181,34887,150294
"局肯侩前","2023.03",208222,39104,169118
"局肯侩前","2023.04",197865,35973,161892
"局肯侩前","2023.05",210529,38350,172180
"局肯侩前","2023.06",208708,39007,169701
"局肯侩前","2023.07",212853,37300,175553
"局肯侩前","2023.08",219238,39960,179278
"局肯侩前","2023.09",205228,35585,169643
"局肯侩前","2023.10",222616,40566,182051
"局肯侩前","2023.11",218820,39185,179635
"局肯侩前","2023.12",224260,38657,185603
"局肯侩前","2024.01",223691,39206,184485
"局肯侩前","2024.02",205210,35140,170070
"局肯侩前","2024.03",222885,37521,185364
"局肯侩前","2024.04",218825,36877,181948
"局肯侩前","2024.05",225727,37561,188167
"局肯侩前","2024.06",221167,37060,184108
"局肯侩前","2024.07",228890,38278,190612
"局肯侩前","2024.08",229778,39678,190100
"局肯侩前","2024.09",217261,35060,182201
"局肯侩前","2024.10",234108,40728,193379
"局肯侩前","2024.11 p)",232198,40730,191468
"局肯侩前","2024.12 p)",239422,40236,199186
"局肯侩前","2024 p)",2699162,458075,2241088
